objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
128;20146;7;52;BANDE NERE;9.13679775557859;45.46525257944043;(45.46525257944043, 9.13679775557859)
302;20148;8;66;QT 8;9.137807316578442;45.48832948180792;(45.48832948180792, 9.137807316578442)
31116;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.137882474317056;45.511644030005094;(45.511644030005094, 9.137882474317056)
4231;20143;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.139911157713417;45.44387988764467;(45.44387988764467, 9.139911157713417)
3425;20149;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.145567161936235;45.487769337741064;(45.487769337741064, 9.145567161936235)
3403;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.140782187362142;45.50738231902133;(45.50738231902133, 9.140782187362142)
10286;20143;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.148000921278491;45.44073737677808;(45.44073737677808, 9.148000921278491)
2151;20146;7;51;PORTA MAGENTA;9.152281565584527;45.46449747562109;(45.46449747562109, 9.152281565584527)
444;20149;8;58;DE ANGELI - MONTE ROSA;9.150591274971886;45.477512969356425;(45.477512969356425, 9.150591274971886)
437;20149;8;67;PORTELLO;9.15099351573912;45.484214277273914;(45.484214277273914, 9.15099351573912)
4217;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.146440615993733;45.493001477475765;(45.493001477475765, 9.146440615993733)
